204,1013,519,838,60124,73,288824,94,69637,129254,82737,57117,55942,19897,47,203,183,204,95,45,218,83884,187895,187547,187251,35334,28674,187091,180242,142,82921,187068,50,28705,66080,60314,158,203,177941,69,27875,176491,126790,126666,180,176,200308,95,175216,125589,64870,64622,34845,125466,107644,34593,417,407,405,175189,179,21,553,24118,34984,934,1375,115118,92,33525,200371,392,1608,4329,80,43158,93490,4128,1215,2644,42511,2634,1122,429,3554,69,1246,186,58,2112,32,3858,212,1115
820,783,1933,189,121,26858,647,2199,176921,82370,184265,115,92003,124,205,19848,211,179,34879,65623,209,187545,61322,61373,61589,141,57078,61138,131024,82934,186012,61114,41046,56704,28726,177,128531,128487,128245,40523,55560,127536,200,80558,125776,175585,61,74,125782,80496,35213,35001,56707,72,78,172703,129107,128704,128865,122535,85,39615,24813,122,427,193777,1346,892,77,65,157,95,671,2888,1158,19069,427,336,2741,2279,28,2259,384,93964,885,586,546,1268,1264,161718,508071,2727,191552,183
664,202,472,1098,76637,130355,91,161,155,183501,60419,49,68474,107,218,168,19712,19702,56712,28279,197,61239,57,23,55,57999,94012,132,83083,186674,55,81,147,94205,56855,74,81671,81756,81912,129,92974,81228,80625,179201,80507,126790,40385,64573,80462,178820,174091,173397,120,57,53,123083,1000,1041,1074,79537,196,34531,1498,1687,51739,637,157,184,85132,93,215,226,279,232900,4072,411,497161,46293,3735,497,965,234,18970,27,2450,506,106959,106081,106711,139,96288,720,2784,53
3937,3587,488,1568,425,392,123,31255,129116,60355,133,70,10,167109,19837,31,198,224,105,56583,20058,229,23,128,30,135,70286,66,75,52,60915,31,35664,70519,94521,59,183426,183247,182545,35076,69148,174,179480,59111,179033,81329,158,27701,178456,59144,124589,262,116,197654,63706,79447,263,272,63788,58,19236,56350,581,681,605,31855,1098,1132,61443,125,34948,222610,1648,846,2730,63763,93860,286026,286,2680,77,415,369,81087,234460,2276,629,391,468,303032,32692,236662,1462,1427
288646,452,63300,169,91336,973,147,339457,14,130,21,64271,223404,125743,210,115,114,137,57,93239,203,46,185,225,225,65923,228297,250,186587,60757,263,271,57924,228893,70576,269,33,71,59912,110287,225151,180731,101,190,59067,179602,34635,55292,59177,201,80203,123888,48,39516,27417,176292,64039,63925,34207,175231,191,118,128463,697,72,433,146663,100,75,75,464,49764,75,1283,232393,282,31879,315501,4078,1167,447,1141,63120,502583,682,3845,408,665,607,1194,107841,1331,1329,432
72,286623,1178,794,1564,34725,422,443,81391,235,213,109349,101,87,122,164976,165088,141,64476,69370,111351,228,229,240,58,84,117650,40,60968,60,285,256,113,112711,12,303,59715,59699,172,57366,144,48,59158,91,33,59575,56852,92302,191,95,178259,79662,110525,34205,55068,130,34394,34235,263,72,206,42,1530,1700,535,34791,1167,445,64,31,34792,503,198,4892,803,1242,105670,89,417,415,2713,2724,43045,95512,1193,1033,78,2349,522,1232,58862,112,194,652
3675,3890,1695,479,1004,369,752,85493,181862,89,214,27589,115,201532,121,130,138,164474,27623,105,127,206,215,20009,232,28433,133,36,151,33,295,253,65409,130,230363,325,106,83,41,12,156,59915,101,32,88,46,153,68581,10,49,58688,274,64416,56255,91555,240,172736,172331,63,59482,69,119,93,126358,221,52009,182,198263,122,197,199,67055,103781,1584,1135,79,57471,415,1282,3651,2315,3672,152,21,3969,2613,2378,996,116823,422,205111,923,540,106054
484,480,202,3722,57,498,3969,428,59993,225,214,55795,109430,39605,164604,125019,110,74,55435,226018,114,20060,19982,237,248,56978,112161,275,33,290,19770,19990,69,160,160,19758,43,49,82,127,111076,89,22,293,338,79,92,223866,63,110,241,177375,27889,68,67438,58067,122991,122721,171984,21,151,108640,63186,447,223,556,434,225,63,70,54411,238,554,2818,4692,526,111613,435,46454,4017,2715,331,1122,32108,212559,935,67,3813,2434,24,30941,4335,1092,116140
156,1706,836,3821,2442,167258,65,107,167,19711,19685,92144,108964,149,94,92,124805,124729,91689,96,167451,237,203,108,20004,10,129,60,234,65,34,276,28358,113221,153,267,327,290,290,39,11,40,298,343,333,325,109916,205,344,275,45,58417,55580,126,220369,113,79470,79185,122180,172,162101,68,389,61919,103597,504,83,32052,113,405,121,217,634,209939,1493,39,203361,2853,429,1349,1126,4006,1084,107124,967,235447,1025,116270,612,19354,52900,213722,1406,2600
63128,159,79,290812,269,238,2622,95,257,253,256,68261,51828,35020,124694,92,96,67,68153,111430,104,73,163,245,208,93937,52793,269,40,260,285,72,56621,53,113509,83,331,305,341,83,52156,91,332,312,319,126,92,217,96,54,114,97,92322,153,166,67,175143,174353,281,159,161,63923,34001,32969,453,256,114228,748,210804,13,124,272,2996,1184,2773,1337,99483,2885,284733,46439,3680,1273,78,58114,433,711,3945,712,1028,41,105551,636,666,4254
